OverallQual,GarageCars,TotalBsmtSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,SalePrice
5.0,1.0,882.0,1.0,5.0,1961.0,1961.0,111703.49333333335
6.0,1.0,1329.0,1.0,6.0,1958.0,1958.0,145212.3333333333
5.0,2.0,928.0,2.0,6.0,1997.0,1998.0,169701.6
6.0,2.0,926.0,2.0,7.0,1998.0,1998.0,194384.0
8.0,2.0,1280.0,2.0,5.0,1992.0,1992.0,204112.06
6.0,2.0,763.0,2.0,7.0,1993.0,1994.0,183250.0
6.0,2.0,1168.0,2.0,6.0,1992.0,2007.0,185780.32
6.0,2.0,789.0,2.0,7.0,1998.0,1998.0,202344.0
7.0,2.0,1300.0,1.0,5.0,1990.0,1990.0,202491.63
4.0,2.0,882.0,1.0,4.0,1970.0,1970.0,123684.16666666666
7.0,2.0,1405.0,2.0,5.0,1999.0,1999.0,185358.8
6.0,1.0,483.0,1.0,5.0,1971.0,1971.0,88787.0
5.0,1.0,525.0,1.0,6.0,1971.0,1971.0,102652.66666666669
6.0,2.0,855.0,2.0,6.0,1975.0,1975.0,159493.5
7.0,1.0,836.0,1.0,4.0,1975.0,1975.0,163953.5
9.0,3.0,1590.0,2.0,10.0,2009.0,2010.0,407963.1
8.0,3.0,1544.0,2.0,7.0,2009.0,2010.0,272533.71
9.0,3.0,1698.0,2.0,7.0,2005.0,2005.0,302956.82
8.0,3.0,1822.0,2.0,8.0,2005.0,2006.0,300589.98
9.0,3.0,2846.0,2.0,10.0,2003.0,2004.0,427987.24
8.0,3.0,1671.0,2.0,7.0,2002.0,2002.0,270039.66
8.0,2.0,1370.0,2.0,6.0,2006.0,2006.0,234718.825
6.0,2.0,1324.0,2.0,6.0,2005.0,2005.0,188676.12
7.0,2.0,1145.0,2.0,6.0,2006.0,2006.0,203142.38
7.0,2.0,384.0,2.0,7.0,2004.0,2004.0,170355.98333333337
7.0,2.0,847.0,2.0,7.0,2004.0,2004.0,197336.0
8.0,3.0,1629.0,2.0,7.0,1998.0,1998.0,314542.63
8.0,3.0,1595.0,2.0,6.0,2005.0,2006.0,253864.66
7.0,2.0,1218.0,2.0,4.0,2009.0,2010.0,212744.3
6.0,2.0,1468.0,2.0,6.0,2005.0,2005.0,198849.6
7.0,2.0,831.0,2.0,8.0,2004.0,2004.0,201567.0
5.0,1.0,816.0,1.0,5.0,1920.0,1950.0,106462.0
6.0,2.0,1208.0,2.0,7.0,1974.0,2002.0,195137.82
8.0,3.0,1231.0,2.0,9.0,1993.0,1993.0,309813.61
8.0,3.0,1390.0,2.0,7.0,1992.0,1993.0,295694.71
7.0,2.0,1488.0,2.0,6.0,2004.0,2005.0,207518.425
7.0,2.0,840.0,2.0,3.0,2004.0,2004.0,191246.0
7.0,2.0,600.0,2.0,4.0,2004.0,2004.0,149522.92
7.0,2.0,600.0,2.0,4.0,2004.0,2005.0,149707.24
6.0,2.0,600.0,2.0,4.0,2005.0,2005.0,160143.33000000002
6.0,2.0,756.0,2.0,5.0,2000.0,2000.0,176181.33
7.0,2.0,530.0,2.0,4.0,2003.0,2003.0,151520.56
8.0,3.0,1642.0,1.0,6.0,2010.0,2010.0,298468.45
8.0,2.0,975.0,2.0,7.0,2000.0,2000.0,229794.3
7.0,2.0,1492.0,2.0,6.0,2002.0,2002.0,213828.7
6.0,2.0,1829.0,2.0,8.0,1967.0,1967.0,211022.0
6.0,2.0,1280.0,2.0,9.0,1993.0,1993.0,217914.25
6.0,2.0,1224.0,3.0,7.0,1978.0,1978.0,179903.83333333337
6.0,2.0,715.0,1.0,7.0,1971.0,1971.0,159161.5
5.0,2.0,1232.0,1.0,6.0,1966.0,1966.0,155682.0
5.0,2.0,1209.0,1.0,6.0,1966.0,1966.0,151275.0
5.0,2.0,1510.0,2.0,6.0,1967.0,1967.0,169626.0
6.0,2.0,533.0,2.0,8.0,1964.0,1964.0,223202.0
5.0,0.0,1728.0,2.0,10.0,1962.0,2001.0,174800.0
5.0,2.0,1140.0,2.0,7.0,1952.0,2002.0,154025.97
6.0,2.0,782.0,2.0,6.0,1949.0,1950.0,168581.4
6.0,1.0,1080.0,1.0,5.0,1966.0,2008.0,161222.5
5.0,2.0,1604.0,2.0,8.0,1958.0,1958.0,134724.5
7.0,2.0,1480.0,2.0,7.0,2003.0,2009.0,218887.69
5.0,1.0,1143.0,1.0,6.0,1959.0,1959.0,139487.0
5.0,1.0,1206.0,1.0,6.0,1959.0,1959.0,148322.0
6.0,2.0,1244.0,1.0,6.0,1959.0,1959.0,154943.5
4.0,1.0,832.0,1.0,5.0,1956.0,1956.0,115086.44
5.0,1.0,864.0,1.0,4.0,1952.0,1952.0,119742.16666666669
5.0,1.0,972.0,1.0,5.0,1955.0,1955.0,123690.5
5.0,1.0,988.0,1.0,5.0,1958.0,1958.0,121708.16666666666
4.0,2.0,576.0,1.0,4.0,1920.0,1994.0,98822.84666666668
6.0,1.0,816.0,1.0,5.0,1948.0,2004.0,127849.75
5.0,2.0,1175.0,1.0,6.0,1960.0,1960.0,155833.5
6.0,2.0,1395.0,1.0,7.0,1963.0,1984.0,166777.5
4.0,1.0,709.0,1.0,9.0,1900.0,1954.0,120751.18
5.0,0.0,936.0,1.0,5.0,1920.0,1950.0,101309.5
5.0,2.0,1347.0,1.0,6.0,1957.0,1957.0,150648.0
6.0,1.0,827.0,1.0,6.0,1938.0,2000.0,148177.88
5.0,1.0,1027.0,1.0,7.0,1948.0,2009.0,138113.75
5.0,1.0,1008.0,1.0,6.0,1920.0,1962.0,108514.25
2.0,2.0,678.0,1.0,5.0,1923.0,1970.0,103952.50666666668
8.0,1.0,930.0,2.0,7.0,1900.0,2003.0,192483.5
8.0,2.0,346.0,3.0,7.0,1890.0,2002.0,201176.13
5.0,0.0,840.0,2.0,12.0,1910.0,1950.0,125123.35
6.0,2.0,738.0,1.0,6.0,1922.0,1994.0,143040.0
5.0,1.0,988.0,1.0,7.0,1950.0,1997.0,147465.34666666665
7.0,1.0,1108.0,1.0,8.0,1922.0,2005.0,234518.36
4.0,1.0,765.0,1.0,4.0,1925.0,1950.0,103249.0
6.0,1.0,608.0,1.0,5.0,1939.0,1950.0,110490.66666666666
6.0,2.0,572.0,1.0,6.0,1940.0,1950.0,120638.0
5.0,1.0,835.0,1.0,7.0,1942.0,1950.0,123725.0
6.0,1.0,780.0,1.0,6.0,1948.0,1950.0,127208.5
5.0,2.0,528.0,1.0,5.0,1936.0,1980.0,122374.39
5.0,2.0,928.0,2.0,7.0,1930.0,1950.0,140210.72
6.0,1.0,1124.0,1.0,5.0,1923.0,1950.0,124292.0
4.0,2.0,888.0,1.0,9.0,1915.0,1950.0,111881.1
6.0,0.0,780.0,1.0,7.0,1912.0,2009.0,123763.78
6.0,1.0,662.0,1.0,6.0,1920.0,1993.0,135932.28
5.0,1.0,1422.0,2.0,8.0,1959.0,1959.0,146727.0
5.0,1.0,689.0,1.0,6.0,1917.0,1950.0,105048.23
5.0,0.0,1212.0,1.0,6.0,1915.0,1950.0,127575.0
6.0,1.0,600.0,1.0,5.0,1940.0,1950.0,110115.66666666666
4.0,0.0,707.0,1.0,7.0,1907.0,1950.0,102478.36
5.0,2.0,856.0,2.0,7.0,1910.0,1950.0,137583.85
4.0,0.0,1832.0,2.0,8.0,1967.0,1967.0,151122.59
5.0,1.0,864.0,1.0,5.0,1966.0,2008.0,129613.33333333334
5.0,1.0,864.0,1.0,4.0,1968.0,1968.0,115027.33333333334
5.0,2.0,1319.0,1.0,5.0,1978.0,1978.0,174831.5
5.0,2.0,720.0,1.0,7.0,1968.0,1968.0,136245.3
7.0,2.0,1420.0,1.0,4.0,1977.0,2001.0,208476.32
4.0,2.0,660.0,1.0,4.0,1927.0,1950.0,105427.55
6.0,2.0,1117.0,2.0,8.0,1978.0,1992.0,201293.4
3.0,1.0,972.0,2.0,8.0,1938.0,1990.0,116660.58
6.0,1.0,663.0,1.0,6.0,1950.0,1987.0,142112.37333333335
4.0,1.0,756.0,1.0,8.0,1947.0,1979.0,127982.04
5.0,1.0,1172.0,1.0,5.0,1954.0,1998.0,150049.75
7.0,2.0,1508.0,1.0,5.0,2009.0,2010.0,229926.72
5.0,2.0,1250.0,2.0,5.0,1964.0,1964.0,162990.0
7.0,2.0,1433.0,1.0,4.0,1987.0,1987.0,221634.48
6.0,4.0,946.0,2.0,8.0,1993.0,1993.0,201080.0
7.0,2.0,1222.0,2.0,6.0,2010.0,2010.0,213837.6
6.0,2.0,676.0,2.0,6.0,1900.0,1993.0,181266.72
5.0,2.0,870.0,1.0,4.0,1996.0,1996.0,145022.2666666667
7.0,2.0,878.0,2.0,8.0,1997.0,1998.0,194235.1
5.0,1.0,1026.0,1.0,5.0,1977.0,2004.0,141373.5
5.0,2.0,876.0,1.0,5.0,1972.0,1972.0,119757.33333333331
8.0,3.0,1978.0,2.0,8.0,2003.0,2003.0,336851.0
7.0,2.0,1040.0,2.0,9.0,1997.0,1997.0,241553.25
6.0,2.0,848.0,1.0,4.0,2003.0,2003.0,138840.875
3.0,1.0,0.0,1.0,5.0,1945.0,2007.0,80608.0
5.0,1.0,381.0,1.0,6.0,1954.0,1954.0,111358.0
5.0,1.0,1196.0,1.0,6.0,1968.0,1968.0,147621.09
4.0,2.0,744.0,1.0,5.0,1948.0,1950.0,112828.46333333332
6.0,1.0,1008.0,1.0,5.0,1975.0,1975.0,137040.5
4.0,0.0,960.0,1.0,5.0,1958.0,1958.0,102314.28
5.0,1.0,1107.0,2.0,5.0,1924.0,1999.0,140278.0
6.0,2.0,856.0,1.0,4.0,1939.0,1950.0,129551.66666666669
4.0,0.0,0.0,3.0,10.0,1967.0,1967.0,97846.21333333332
5.0,0.0,894.0,1.0,7.0,1931.0,1950.0,113366.0
7.0,1.0,1528.0,1.0,8.0,1941.0,1985.0,286264.86
5.0,2.0,1032.0,2.0,11.0,1950.0,1991.0,149274.28
7.0,2.0,423.0,2.0,6.0,1994.0,2007.0,166064.32
8.0,2.0,982.0,1.0,4.0,1989.0,1989.0,197369.0
8.0,2.0,1191.0,2.0,5.0,1989.0,1989.0,191297.0
2.0,1.0,480.0,1.0,4.0,1941.0,1950.0,68113.0
6.0,1.0,629.0,1.0,5.0,1921.0,1975.0,107449.16666666666
4.0,1.0,756.0,1.0,5.0,1896.0,1950.0,104426.74
8.0,2.0,1594.0,2.0,5.0,2004.0,2005.0,272733.0
8.0,3.0,1049.0,2.0,8.0,1998.0,1999.0,291236.0
